,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)CMG제약,58820,2014/12,,1,32102,  의료용 물질 및 의약품 제조업,5
1,(주)DB하이텍,990,2014/12,,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
2,(주)ES큐브,50120,2014/12,,1,74604,  도매 및 상품 중개업,5
3,(주)HJ중공업,97230,2014/12,,1,64102,  종합 건설업,1
4,(주)MH에탄올,23150,2014/12,,1,31101,  음료 제조업,1
5,(주)SH에너지화학,2360,2014/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
6,(주)SIMPAC,9160,2014/12,,1,32401,  1차 금속 제조업,1
7,(주)SNT에너지,100840,2014/12,,1,32901,  기타 기계 및 장비 제조업,1
8,(주)SNT홀딩스,36530,2014/12,,1,137105,  전문 서비스업,1
9,(주)STX,11810,2014/12,,1,74608,  도매 및 상품 중개업,1
10,(주)TCC스틸,2710,2014/12,,1,32401,  1차 금속 제조업,1
11,(주)가비아,79940,2014/12,,1,105802,  출판업,5
12,(주)강스템바이오텍,217730,2014/12,,1,32101,  의료용 물질 및 의약품 제조업,5
13,(주)강원랜드,35250,2014/12,,1,189102,  스포츠 및 오락관련 서비스업,1
14,(주)강원에너지,114190,2014/12,,1,32501,  금속가공제품 제조업; 기계 및 가구 제외,5
15,(주)갤럭시아에스엠,11420,2014/12,,1,189101,  스포츠 및 오락관련 서비스업,1
16,(주)경농,2100,2014/12,,1,32003,  화학물질 및 화학제품 제조업; 의약품 제외,1
17,(주)경동나비엔,9450,2014/12,,1,32805,  전기장비 제조업,1
18,(주)경동인베스트,12320,2014/12,,1,137105,  전문 서비스업,1
19,(주)경방,50,2014/12,,1,74701,  소매업; 자동차 제외,1
20,(주)경보제약,214390,2014/12,,1,32101,  의료용 물질 및 의약품 제조업,1
21,(주)경인양행,12610,2014/12,,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,1
22,(주)고려시멘트,198440,2014/12,,1,32303,  비금속 광물제품 제조업,5
23,(주)고영테크놀러지,98460,2014/12,,1,32902,  기타 기계 및 장비 제조업,5
24,(주)골드앤에스,35290,2014/12,,1,105801,  출판업,5
25,(주)골프존뉴딘홀딩스,121440,2014/12,,1,74601,  도매 및 상품 중개업,5
26,(주)광림,14200,2014/12,,1,33001,  자동차 및 트레일러 제조업,6
27,(주)광명전기,17040,2014/12,,1,32801,  전기장비 제조업,1
28,(주)광무,29480,2014/12,,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5
29,(주)광주신세계,37710,2014/12,,1,74701,  소매업; 자동차 제외,1
30,(주)구영테크,53270,2014/12,,1,33003,  자동차 및 트레일러 제조업,5
31,(주)국동,5320,2014/12,,1,74604,  도매 및 상품 중개업,1
32,(주)국보,1140,2014/12,,1,84903,  육상운송 및 파이프라인 운송업,1
